Id_Siniestro,Monto_Retención_100%
1,104768318.7
2,103749832.1
3,104700419.6
4,104021428.5
5,107484282.9
6,103817731.2
7,106941090
8,101984455.4
9,108434870.3
10,110268146.2
11,105379410.6
12,104157226.7
13,106126300.8
14,110268146.2
15,104496722.3
16,104564621.4
17,102731345.5
18,106262099
19,104700419.6
20,108570668.5
21,107755879.3
22,105922603.5
23,103274538.4
24,104089327.6
25,105175713.3
26,102935042.8
27,103206639.3
28,109385457.8
29,105990502.6
30,105990502.6
31,102595547.3
32,109385457.8
33,103138740.2
34,103070841.1
35,106805291.8
36,102731345.5
37,104700419.6
38,107008989.1
39,103817731.2
40,103002942
41,102935042.8
42,106058401.7
43,104089327.6
44,104428823.2
45,103681933
46,106329998.1
47,102731345.5
48,100490675.1
49,103953529.4
50,105718906.1
51,106397897.2
52,101848657.2
53,106194199.9
54,103885630.3
55,108434870.3
56,108842265
57,101101767
58,101577060.8
59,103342437.5
60,108978063.2
61,102731345.5
62,105718906.1
63,104360924
64,105990502.6
65,102323950.9
66,101169666.1
67,102188152.7
68,101848657.2
69,109860751.5
70,105718906.1
71,107552182
72,105854704.4
73,104904116.9
74,104564621.4
75,106805291.8
76,104157226.7
77,100694372.4
78,104904116.9
79,105379410.6
80,105651007
81,104428823.2
82,104496722.3
83,105922603.5
84,105379410.6
85,107416383.8
86,100762271.5
87,101712859
88,107076888.2
89,103885630.3
90,103546134.8
91,109453356.9
92,102731345.5
93,104360924
94,108706466.8
95,105854704.4
96,100151179.6
97,104700419.6
98,107348484.7
99,112182105.5
100,106533695.4
101,104836217.8
102,106533695.4
103,104768318.7
104,106126300.8
105,108095374.8
106,105583107.9
107,104428823.2
108,104700419.6
109,106873190.9
110,108842265
111,105107814.2
112,105922603.5
113,106262099
114,102799244.6
115,108366971.2
116,103885630.3
117,107280585.6
118,104904116.9
119,110471843.5
120,105447309.7
121,107823778.4
122,107008989.1
123,106126300.8
124,103002942
125,106737392.7
126,104972016
127,102052354.5
128,103817731.2
129,106397897.2
130,102256051.8
131,103274538.4
132,106397897.2
133,105515208.8
134,107484282.9
135,107552182
136,107008989.1
137,103410336.6
138,104089327.6
139,100219078.7
140,102663446.4
141,102663446.4
142,103681933
143,109045962.3
144,106873190.9
145,105651007
146,101373363.4
147,107144787.3
148,98657399.24
149,103817731.2
150,100151179.6
151,101441262.5
152,104496722.3
153,109860751.5
154,106058401.7
155,105651007
156,100151179.6
157,104564621.4
158,106601594.5
159,103070841.1
160,102120253.6
161,106941090
162,112780413
163,104496722.3
164,104972016
165,108706466.8
166,106533695.4
167,100151179.6
168,103138740.2
169,101712859
170,103478235.7
171,100286977.8
172,103546134.8
173,102595547.3
174,103953529.4
175,114996894.8
176,104496722.3
177,102256051.8
178,103953529.4
179,107280585.6
180,101984455.4
181,107076888.2
182,105447309.7
183,104836217.8
184,105379410.6
185,102391850
186,102935042.8
187,105583107.9
188,105990502.6
189,106533695.4
190,105718906.1
191,102120253.6
192,107008989.1
193,103070841.1
194,108299072.1
195,103478235.7
196,103410336.6
197,108706466.8
198,108706466.8
199,101780758.1
200,105447309.7
201,108570668.5
202,104360924
203,103681933
204,104836217.8
205,103885630.3
206,101237565.2
207,106601594.5
208,109589155.1
209,105990502.6
210,101712859
211,104700419.6
212,105651007
213,100762271.5
214,112101422
215,105854704.4
216,103817731.2
217,103953529.4
218,97774710.88
219,104496722.3
220,110539742.6
221,103410336.6
222,107687980.2
223,111150834.5
224,101644959.9
225,112916211.3
226,104972016
227,104089327.6
228,102799244.6
229,105651007
230,105243612.4
231,105651007
232,104021428.5
233,103749832.1
234,105922603.5
235,102120253.6
236,100151179.6
237,106533695.4
238,107484282.9
239,105515208.8
240,105311511.5
241,106126300.8
242,106397897.2
243,105922603.5
244,104700419.6
245,99132692.98
246,107484282.9
247,104836217.8
248,106941090
249,105039915.1
250,104836217.8
251,110064448.9
252,105447309.7
253,106126300.8
254,103070841.1
255,104360924
256,104564621.4
257,102527648.2
258,107552182
259,102188152.7
260,109589155.1
261,103546134.8
262,103274538.4
263,105651007
264,104089327.6
265,101101767
266,100898069.7
267,105311511.5
268,106397897.2
269,108366971.2
270,105447309.7
271,103614033.9
272,103206639.3
273,107620081.1
274,108502769.4
275,107959576.6
276,105243612.4
277,101916556.3
278,107008989.1
279,101373363.4
280,107755879.3
281,100286977.8
282,107280585.6
283,102459749.1
284,108502769.4
285,103206639.3
286,103206639.3
287,102799244.6
288,100015381.3
289,107552182
290,110675540.8
291,101644959.9
292,100626473.3
293,103749832.1
294,107008989.1
295,107823778.4
296,105447309.7
297,104632520.5
298,106941090
299,102731345.5
300,103546134.8
301,105786805.2
302,106941090
303,102052354.5
304,108366971.2
305,106873190.9
306,104564621.4
307,99132692.98
308,109996549.7
309,103546134.8
310,102935042.8
311,107484282.9
312,101033867.9
313,104836217.8
314,104496722.3
315,105039915.1
316,105718906.1
317,97095719.83
318,103681933
319,104768318.7
320,104564621.4
321,100626473.3
322,104360924
323,105718906.1
324,104021428.5
325,107552182
326,102323950.9
327,105515208.8
328,104157226.7
329,104904116.9
330,108366971.2
331,101916556.3
332,105039915.1
333,105651007
334,107823778.4
335,110268146.2
336,106533695.4
337,106329998.1
338,105311511.5
339,104021428.5
340,106058401.7
341,103681933
342,106805291.8
343,103274538.4
344,104157226.7
345,101509161.6
346,108299072.1
347,106669493.6
348,108434870.3
349,108231173
350,104225125.8
351,108570668.5
352,102595547.3
353,106194199.9
354,109928650.6
355,107959576.6
356,105515208.8
357,102256051.8
358,102935042.8
359,103478235.7
360,103749832.1
361,106126300.8
362,103274538.4
363,103749832.1
364,101509161.6
365,105039915.1
366,103953529.4
367,105651007
368,104700419.6
369,105786805.2
370,102323950.9
371,101509161.6
372,105311511.5
373,101509161.6
374,106601594.5
375,106465796.3
376,105175713.3
377,106397897.2
378,113663101.4
379,104768318.7
380,104564621.4
381,101169666.1
382,110132348
383,103002942
384,100558574.2
385,108163273.9
386,105515208.8
387,102459749.1
388,101169666.1
389,107620081.1
390,102935042.8
391,104293024.9
392,104632520.5
393,106533695.4
394,107144787.3
395,103546134.8
396,105243612.4
397,103410336.6
398,102935042.8
399,101577060.8
400,109385457.8
401,105718906.1
402,103953529.4
403,103953529.4
404,107144787.3
405,106533695.4
406,106873190.9
407,103342437.5
408,105651007
409,101237565.2
410,104768318.7
411,102527648.2
412,101780758.1
413,100490675.1
414,109113861.4
415,106873190.9
416,104428823.2
